===================================
員工編號
姓名
部門
職等
加班時數
本月兼職時數
===================================


150001,孫宥葳,會計部,A,0,120
150002,黃岑秀,人事部,B,0,165
150003,楊雅柔,營業部,C,0,210
150004,李至君,會計部,D,0,175
150005,陳怡婷,會計部,A,0,215
150006,林雅文,營業部,B,0,225
150007,謝羿婷,營業部,C,0,125
150008,郭玟寧,會計部,D,0,75
150009,方翊郁,會計部,A,0,280
150010,洪亭瑩,人事部,B,0,110
150011,莊盈琳,營業部,C,0,155
150012,陳子傑,會計部,D,0,275
150013,徐冠運,營業部,A,0,200
150014,邱典鳴,人事部,B,0,120
150015,何冠斌,人事部,C,0,50
150016,劉潔容,人事部,D,0,290
150017,王尉瑩,會計部,A,0,185
150018,徐盈菁,營業部,B,0,135
150019,何慈貞,人事部,C,0,125
150020,黃宜勻,人事部,D,0,265
